Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
758.0210035183392,-25.42687462991816,-13.54212410188806
762.6981208048736,-25.30957727774719,-13.35314841420747
767.4040966929642,-25.18375200156052,-14.21753921758499
772.1391092450446,-24.74716419167031,-14.93419981226768
776.9033376222228,-24.84256449033529,-14.79381785107614
781.6969620910613,-24.50248180518567,-14.19756702500854
786.5201640303978,-24.20860785815054,-13.66510455183362
791.3731259382077,-24.15119965627196,-14.60924740285147
796.2560314385099,-23.96568453339872,-13.98221309132206
801.1690652883141,-23.75985322821105,-14.80857306085134
806.1124133846126,-23.65028417101833,-15.7281059328123
811.0862627714122,-23.322834856961,-14.93872556196376
816.0908016468139,-23.06583353705338,-14.85203717618572
821.1262193701325,-22.67027790832829,-14.77418055083705
826.1927064690612,-22.45477926287989,-16.1722073082877
831.2904546468812,-22.55004555179166,-16.13868016600478
836.4196567897159,-22.18915973139235,-17.22666816617027
841.5805069738275,-21.88518624486402,-15.33396839289665
846.7732004729628,-21.50941120450917,-15.75840411803281
851.9979337657392,-21.33462161551236,-15.53788476595162
857.2549045430808,-20.97886165372755,-16.09442253325669
862.5443117156984,-20.55277525825259,-16.73869942898118
867.8663554216151,-20.28067037267233,-17.22435223135752
873.2212370337387,-19.75197292259531,-16.87326795339882
878.6091591674829,-19.35891796402582,-17.60590234468727
884.0303256884315,-19.23420420187866,-18.16601090341882
889.4849417200542,-18.99987686775489,-19.10856354056627
894.9732136514667,-18.37774361658224,-18.66362396807678
900.4953491452401,-18.10760371182521,-18.3462893748316
906.0515571452589,-17.60617996230651,-18.25773751824065
911.6420478846267,-16.74742647722449,-18.16375789398535
917.2670328936199,-16.07027399343673,-18.49285900472401
922.9267250076932,-15.53230081735819,-21.45688110574872
928.6213383755319,-14.96276913480922,-22.14980361205888
934.3510884671541,-14.45957776107474,-22.10319847498988
940.1161920820647,-13.85159982080733,-23.2187457673483
945.9168673574584,-13.19824757363711,-23.24141436489049
951.753333776472,-12.19675514833154,-23.63793585574174
957.6258121764915,-10.80663537678637,-22.90786006876098
963.5345247575062,-9.240400280724268,-25.16080373248107
969.4796950905164,-7.412580147550595,-29.31703969377413
975.4615481259938,-5.63403570605492,-35.11609794549378
981.480310202392,-3.825687155040261,-44.13570140416024
987.5362090547111,-2.044091698389247,-54.30015698765037
993.6294738231151,0.2992723987443225,-68.207100701348
999.7603350615999,2.62515628912388,-92.73890833798077
1005.92902474672,3.53738328332751,-128.8680567514709
1012.135776286363,0.8203275523353349,-168.9783886938029
1018.380824528584,-4.276554780585248,-179.8884279991355
1024.664405770489,-7.069158685589036,175.6294073049704
1030.986757767177,-9.511705903403445,178.1509005613779
1037.348119740736,-10.35739756315484,-179.1888711192561
1043.748732389296,-11.44585242090824,177.1198110712699
1050.188837896132,-12.22711460824642,175.763670416748
1056.668679938834,-13.08281312514441,171.3203255292198
1063.188503698522,-14.3165445895718,169.4974100495765
1069.748555869125,-15.31696363089939,168.1083524141471
1076.349084666714,-16.59834987574572,166.250019181254
1082.990339838898,-17.43453489637767,167.4355710604821
1089.672572674267,-17.97508237618785,168.9469980247741
1096.396036011908,-18.57262581444005,168.6962995668933
1103.160984250964,-19.07987828806247,167.1032869709982
1109.967673360266,-19.45013369709686,167.6913819200168
1116.816360888015,-20.00315994416159,165.0935545558982
1123.707305971527,-20.6589552885215,165.4610296040297
1130.64076934704,-21.05027383152657,164.3445665138305
1137.617013359579,-21.71993953395038,164.3041131731259
1144.63630197288,-22.83532019536885,165.0656689830716
1151.698900779382,-22.86897340642988,165.1802297926165
1158.805077010273,-22.94423269369813,165.9170796624856
1165.955099545601,-23.62034065991265,164.4945784920523
1173.149238924452,-24.08820702102838,164.9770404160324
1180.387767355183,-24.37470895503166,162.3244827305764
1187.670958725719,-24.61282646377842,162.4274061370766
1194.999088613925,-25.55387435727562,163.9207593134716
1202.372434298025,-25.88059345337133,163.2908645158508
1209.791274767096,-26.22193853068994,163.0973143388354
1217.255890731625,-26.23456738360476,162.4709161273843
1224.766564634131,-26.7471034700631,165.2667184397873
1232.32358065985,-27.20697861021433,164.1914001811163
1239.927224747488,-27.83525832731343,164.1167408533829
1247.577784600044,-27.56475970828297,162.876304815084
1255.275549695688,-28.23986759912641,159.1872838128039
1263.020811298724,-28.13150120639945,164.1233916676953
1270.813862470604,-28.94511392719467,161.7115985618675
1278.654998081017,-28.78495386548573,159.8675400168998
1286.544514819049,-29.20959255036164,163.9069648423873
1294.482711204409,-29.77563709913272,160.5907301322068
1302.46988759872,-30.39057897691249,161.4814690370196
1310.50634621689,-30.71524668482537,162.798224363895
1318.59239113854,-30.86208951709012,159.3543853297952
1326.728328319517,-31.32434373473932,161.3255473831684
1334.914465603467,-31.45349068322222,157.3541166276317
1343.151112733479,-31.54062159186615,158.1966316902399
1351.438581363814,-31.40892540757211,159.0307546011215
1359.777185071691,-31.91321950181308,159.7323289208347
1368.16723936915,-32.37521514988582,160.0273300725229
1376.609061714998,-32.17345246990698,158.9513320762717
1385.102971526814,-32.49312441193787,156.8419723164602
1393.649290193038,-33.0047170465319,156.8334260681087
1402.248341085128,-33.39042161761085,154.8496122342238
1410.900449569804,-33.28283546217872,163.0766455520499
1419.605943021348,-33.90189830974562,161.6098192376442
1428.365150834,-34.2806356555248,160.0093927427886
1437.178404434415,-34.26313294005146,163.6316065939907
1446.046037294211,-35.25477357243644,162.4609761619971
1454.968384942576,-35.90342170650438,155.4643558036698
1463.945784978973,-35.90427170609015,157.2631913310158
1472.978577085912,-35.88270077801182,159.2174553728031
1482.067103041798,-36.01399702902925,153.8370289624614
1491.211706733868,-35.44265264815185,158.5641502834827
1500.412734171201,-36.71601612088572,155.347124696494
1509.670533497811,-37.25579092463535,156.4360745955152
1518.985455005818,-36.27774137777129,157.1516542025657
1528.357851148704,-36.59297896176243,156.2602799961617
1537.788076554649,-37.65474687708654,159.2363131741706
1547.276488039946,-37.1585425420893,159.0803426265384
1556.823444622508,-37.07207148128249,161.6915240850392
1566.429307535447,-37.99305839352684,155.9224731938558
1576.094440240745,-37.71480751216333,158.075387841421
1585.819208443005,-37.62201273188499,152.2481911114119
1595.60398010329,-37.87623947187064,152.1321248000455
1605.449125453044,-38.47449121990596,154.1721716201472
1615.3550170081,-39.03243166629928,152.9895667470714
1625.32202958278,-39.18766645057583,155.6615490347279
1635.350540304069,-39.54790278468146,152.0308267093697
1645.440928625894,-39.33421760517363,161.2221563379114
1655.593576343473,-39.26903006921864,155.0542457564739
1665.808867607765,-38.83305362503975,150.5295623478422
1676.087188940008,-39.60075336942651,148.3610392176444
1686.428929246337,-40.64396139526536,161.31037319128
1696.834479832507,-39.44658049606632,151.25750552621
1707.304234418694,-39.9864598931675,147.053160684442
1717.838589154393,-40.01456745388608,151.5973776803543
1728.43794263341,-43.22567357483798,150.3982836851179
1739.102695908939,-41.80927184567658,154.6743447004196
1749.833252508743,-41.81084077104253,156.0241391769443
1760.630018450419,-44.21575386945243,154.2236919206186
1771.493402256757,-44.09898074518456,157.7567817796891
1782.423814971206,-45.50993083713649,157.9775770329135
1793.421670173421,-45.9390874615968,139.7965590544255
1804.487383994912,-44.31362307174968,157.388184854064
1815.621375134791,-43.66922533446178,152.7460841818746
1826.824064875615,-43.41481024901678,139.4142828173291
1838.095877099325,-47.55549500078682,146.1575444989195
1849.437238303283,-45.02855961837028,146.2206323942221
1860.848577616415,-45.96274452511533,149.0153693196816
1872.330326815442,-47.83624721613344,149.8037035788596
1883.882920341222,-45.29995705229038,148.8815839636741
1895.506795315184,-46.58924083587168,145.6931120985192
1907.202391555873,-49.21164102550311,150.8867400599839
1918.970151595584,-50.2199765342759,151.015482976889
1930.810520697116,-48.38813845157083,148.3610231151749
1942.723946870612,-51.93009885938395,150.4017571839549
1954.710880890512,-49.88459859942359,154.945468206195
1966.771776312611,-50.86463399775505,160.5778790343514
1978.907089491221,-46.97880641970342,130.8777145350351
1991.117279596437,-46.32099530214791,145.5118927856427
2003.402808631506,-52.00591586678616,158.4547437317498
2015.76414145032,-52.83274808468171,146.1087293121271
2028.201745774995,-48.61904281822017,138.6141970179059
2040.716092213567,-51.91271400078631,151.1311316787094
2053.30765427781,-52.17963839985221,144.2767906716678
2065.97690840114,-51.99556579908273,134.0189941574531
2078.724333956651,-49.82081483918936,152.0273401272198
2091.550413275248,-52.27241599761214,135.1160065576457
2104.455631663897,-52.04261363130222,146.9461449223401
2117.440477423994,-53.68358571716076,145.483231592059
2130.505441869834,-51.5153437786994,159.1098948477113
2143.651019347205,-53.13196784260735,127.2001120712745
2156.877707252092,-52.07664987166161,158.5431999382818
2170.186006049494,-52.62075795924975,143.6950196320795
2183.576419292368,-47.69222825284017,162.692231572559
2197.049453640676,-53.01848260137536,153.6129532874543
2210.605618880555,-52.07306824738279,155.0159284029765
2224.24542794361,-51.69274333147751,139.3670297614076
2237.969396926322,-53.70792956506044,140.654865125002
2251.778045109572,-53.46792367410519,147.40050044546
2265.671894978292,-52.67690394792949,134.4690881127945
2279.651472241234,-52.76273850004887,140.6004959917283
2293.717305850864,-54.15673035460845,132.5580442232692
2307.869928023368,-53.77708035449099,164.1571707539718
2322.109874258802,-52.80159060693096,140.0037113215621
2336.437683361343,-54.29565670328419,151.7491624548294
2350.853897459684,-52.37910558044491,143.4813433377639
2365.35906202754,-52.71889370893916,146.544295578248
2379.953725904294,-55.14669541953996,147.8422579034894
2394.638441315757,-53.53373290465917,147.8704614213389
2409.413763895069,-52.79558723525363,130.3468665081628
2424.280252703719,-52.36924468594004,130.0616928355264
2439.238470252701,-51.50660650400815,145.4050586513701
2454.288982523793,-52.97347498057704,135.1012185017921
2469.432358990979,-54.74340087849007,157.3146054623276
2484.669172641994,-54.65786681764026,146.5495110437422
2500,-54.57381560948804,154.099480756929
